"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R6,R11";"R_0805_2012Metric";2;"4.7k";;;
2;"C1,C2,C4,C5,C8";"C_0805_2012Metric";5;"100n";;;
3;"C3,C6,C7";"C_0805_2012Metric";3;"15n";;;
4;"C9,C10,C12";"C_Elec_4x5.4";3;"0.47/50";;;
5;"C11";"C_Elec_4x5.4";1;"33/6.3";;;
6;"C13";"C_0805_2012Metric";1;"220p";;;
7;"D1";"D_SOD-323F";1;"1N914A";;;
8;"D2,D3";"D_SOD-523";2;"1N4148";;;
9;"H1";"PinHeader_2x08_P2.54mm_Vertical";1;"PIN_HEADER_2x8";;;
10;"J1";"JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical";1;"CV IN";;;
11;"J3";"JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical";1;"TRIGGER OUT";;;
12;"Q1,Q2,Q4,Q5,Q6";"TO-92";5;"BC546";;;
13;"Q3";"TO-92";1;"BC556";;;
14;"R1,R10,R12,R24,R27";"R_0805_2012Metric";5;"100k";;;
15;"R2";"R_0805_2012Metric";1;"8.2k";;;
16;"R3,R9,R21";"R_0805_2012Metric";3;"22k";;;
17;"R4,R7,R19";"R_0805_2012Metric";3;"10k";;;
18;"R5";"R_0805_2012Metric";1;"2.7k";;;
19;"R8,R13,R14";"R_0805_2012Metric";3;"1M";;;
20;"R15,R25";"R_0805_2012Metric";2;"6.8k";;;
21;"R16,R20,R22";"R_0805_2012Metric";3;"47k";;;
22;"R17";"R_0805_2012Metric";1;"220";;;
23;"R18";"R_0805_2012Metric";1;"470k";;;
24;"R23";"R_0805_2012Metric";1;"82k";;;
25;"R26";"R_0805_2012Metric";1;"1k";;;
26;"RV1,RV2";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";2;"10k";;;
27;"RV3";"JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical";1;"500kB";;;
28;"U1";"SO-8_3.9x4.9mm_P1.27mm";1;"TL072P";;;
